,oid,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,pmra,pmdec,plx_value,rvz_radvel,otype,otypes,sp_type,U,B,V,G,R,I,J,H,K,CalType
0,6706856,TYC 2521-2196-1,166.17115259654,33.93150038406,0.0462,0.041,90,-25.759,7.047,2.9783,57.29,*,*|NIR,,,11.5,11.069999694824219,10.996600151062012,,,10.140999794006348,9.866999626159668,9.802000045776367,CoreThruput
1,6750434,TYC 2729-888-1,324.80165619314,35.767549911050004,0.0096,0.0119,90,0.494,-2.682,0.7042,5.33,*,*|NIR|RG*,,,13.050000190734863,11.65999984741211,11.518199920654297,,,9.73799991607666,9.095000267028809,8.97599983215332,CoreThruput
2,6661996,TYC 2179-1818-1,312.79131246968996,26.33645739685,0.0227,0.0229,90,-12.156,-20.696,1.7074,2.92,*,*|NIR,,,11.960000038146973,11.6899995803833,11.461099624633789,,,10.67199993133545,10.45199966430664,10.425000190734863,CoreThruput
3,6546270,TYC 1368-1488-1,112.15842502040002,20.162209925130004,0.0126,0.0123,90,4.115,-9.578,2.5498,-53.25,*,*|NIR,,,12.1899995803833,11.970000267028809,11.724200248718262,,,10.836000442504883,10.586999893188477,10.524999618530273,CoreThruput
4,6670169,TYC 2224-309-1,339.19371457545,24.43501684872,0.0103,0.0117,90,6.611,-3.398,0.7846,-37.78,*,*|NIR,,,11.979999542236328,11.020000457763672,10.902199745178223,,,9.413999557495117,8.920999526977539,8.793000221252441,CoreThruput
5,6878945,TYC 3556-3547-1,294.72611325978,45.55963414431,0.0077,0.0094,90,-3.391,-4.833,0.7041,-22.562799,*,*|NIR|Opt,K2III,,12.970000267028809,11.949999809265137,11.731200218200684,,,9.87600040435791,9.312000274658203,9.145000457763672,CoreThruput
6,7797152,TYC 8999-1768-1,204.63517227574,-64.89366624817,0.0088,0.011,90,-4.793,-1.731,0.5413,-42.62,*,*|NIR,,,13.199999809265137,11.970000267028809,11.437600135803223,,,9.406999588012695,8.718999862670898,8.59000015258789,CoreThruput
7,7459633,TYC 7753-757-1,176.04806068058,-43.38714238295,0.0116,0.0079,90,-4.83,2.097,1.0145,10.54,*,*|NIR|RG*,,,12.204000473022461,11.079999923706055,10.789400100708008,,,9.116999626159668,8.576000213623047,8.461999893188477,CoreThruput
8,7590855,TYC 8489-798-1,31.627824466350003,-58.213917205360005,0.0101,0.0097,90,31.506,2.164,0.9934,112.91,*,*|NIR,,,12.329999923706055,11.619999885559082,11.418700218200684,,,9.968000411987305,9.414999961853027,9.338000297546387,CoreThruput
9,7283938,TYC 6544-4050-1,117.18439750686001,-25.30922312702,0.0099,0.014,90,-2.853,0.729,0.6059,22.05,*,*|NIR,,,12.760000228881836,11.880000114440918,11.458600044250488,,,10.027000427246094,9.597000122070312,9.470999717712402,CoreThruput
10,695768,CD-37  1598,61.46356351706,-36.79625874991,0.0141,0.0161,90,-8.186,14.451,1.9613,15.75,*,*|NIR,,,11.5600004196167,11.239999771118164,11.108400344848633,,,10.430999755859375,10.312000274658203,10.227999687194824,CoreThruput
11,6571484,TYC 1591-504-1,281.0063856786,18.8027726085,0.014,0.0177,90,1.616,-9.401,0.3484,30.67,*,*|NIR,,,13.539999961853027,11.960000038146973,11.152799606323242,,,8.873000144958496,8.069000244140625,7.86299991607666,CoreThruput
12,399451,TYC 3878-2249-1,247.19016936581997,53.81354117025,0.0164,0.0163,90,-10.478,15.594,0.9736,-8.84,*,*|NIR|RG*,,,12.470000267028809,11.100000381469727,10.86769962310791,,,9.218000411987305,8.664999961853027,8.52400016784668,CoreThruput
13,3227015,CD-75    58,26.536901034879996,-74.85632323316,0.0105,0.0093,90,9.969,4.06,1.7033,-12.62,*,*|NIR,,,11.54699993133545,11.024999618530273,10.923700332641602,,,10.031000137329102,9.800000190734863,9.713000297546387,CoreThruput
14,39082,TYC 3628-2031-1,338.39925769293,49.49772964971,0.0091,0.0089,90,-6.191,-7.592,0.7935,-28.3,*,*|NIR,K4III:,,12.25,11.170000076293945,10.968899726867676,,,8.982000350952148,8.303000450134277,8.152999877929688,CoreThruput
15,2931265,TYC 3150-1250-1,301.29426162463,37.56285352815,0.0095,0.0105,90,13.059,18.097,3.2544,-26.27,*,*|NIR,F5:,,11.65999984741211,11.149999618530273,10.985600471496582,,,10.109999656677246,9.935999870300293,9.88599967956543,CoreThruput
16,6631381,TYC 2028-693-1,231.27462416929998,26.05724648795,0.0163,0.0229,90,-37.27,-19.938,2.7576,-78.71,*,*|NIR,,,12.520000457763672,11.880000114440918,11.28600025177002,,,9.901000022888184,9.487000465393066,9.359000205993652,CoreThruput
17,7257111,TYC 6379-676-1,329.47898442551,-19.25076813375,0.0156,0.0145,90,-2.126,-9.146,0.6143,-17.12,*,*|NIR,,,12.531999588012695,11.388999938964844,11.017399787902832,,,9.269000053405762,8.642999649047852,8.47599983215332,CoreThruput
18,6560735,TYC 1518-1150-1,246.14474946416996,21.87300922585,0.0079,0.0097,90,5.088,3.387,2.2907,-5.88,*,*|NIR,,,12.069999694824219,10.979999542236328,10.970600128173828,,,9.593000411987305,9.14900016784668,9.034000396728516,CoreThruput
19,7514662,TYC 8132-1615-1,110.35012145222,-52.2758533499,0.0339,0.0322,90,-3.868,17.028,1.4725,24.58,*,*|NIR,,,12.130000114440918,11.75,11.71679973602295,,,10.881999969482422,10.652000427246094,10.604000091552734,CoreThruput
20,384507,TYC 3389-447-1,101.20201864293001,51.063480121400005,0.0127,0.0145,90,3.282,-2.286,4.6449,-9.11,*,*|NIR,,,11.40999984741211,11.010000228881836,10.786600112915039,,,9.925000190734863,9.663999557495117,9.59000015258789,CoreThruput
21,7297807,TYC 6578-290-1,129.60466830559,-27.048096484460004,0.0203,0.0244,90,-7.241,-3.387,1.3399,33.72,*,*|NIR,,,12.569999694824219,11.319999694824219,11.178500175476074,,,9.765999794006348,9.281000137329102,9.170999526977539,CoreThruput
22,1316775,TYC 5276-993-1,21.24123491202,-12.680334130809998,0.0241,0.0146,90,-23.22,-33.25,4.0845,-13.35,*,*|NIR,,,11.979999542236328,11.380000114440918,11.217700004577637,,,10.322999954223633,10.041000366210938,10.00100040435791,CoreThruput
23,6981937,TYC 4121-31-1,118.51554998233,64.14257434704,0.0326,0.0398,90,3.555,1.874,2.0412,-29.84,*,*|NIR,,,12.079999923706055,11.319999694824219,11.46049976348877,,,10.467000007629395,10.168000221252441,10.130999565124512,CoreThruput
24,6962292,TYC 4001-454-1,358.88209293203,53.25614805867,0.0097,0.0104,90,-2.812,-4.476,0.3115,-19.31,*,*|NIR,,,12.9399995803833,11.270000457763672,10.92590045928955,,,8.741000175476074,7.933000087738037,7.734000205993652,CoreThruput
25,7224635,TYC 6079-404-1,163.93443438519,-18.106998445410003,0.0127,0.0119,90,8.224,-7.855,1.0274,-9.85,*,*|NIR,,,13.569999694824219,11.420000076293945,11.627699851989746,,,10.052000045776367,9.461000442504883,9.392000198364258,CoreThruput
26,7491228,TYC 7914-3067-1,279.76941059502,-44.291898357360004,0.0161,0.0143,90,2.956,-0.461,0.6573,22.04,*,*|NIR,,,12.869999885559082,11.550000190734863,11.479599952697754,,,9.909000396728516,9.420000076293945,9.307999610900879,CoreThruput
27,7516912,TYC 8140-3834-1,121.08018963332,-48.62010795890001,0.0136,0.0142,90,-8.781,3.756,1.6602,0.7,*,*|NIR,,,13.140000343322754,11.9399995803833,12.70110034942627,,,11.779999732971191,11.513999938964844,11.482000350952148,CoreThruput
28,6375893,TYC   65-1017-1,55.61991559676,0.10138275756,0.0237,0.017,90,-5.677,-4.53,1.7285,7.47,*,*|NIR,,,12.020000457763672,11.5600004196167,11.383000373840332,,,10.345999717712402,10.085000038146973,10.013999938964844,CoreThruput
29,7161613,TYC 5640-448-1,250.60162571226,-14.86757655027,0.0259,0.0133,90,1.502,3.223,1.6869,5.31,*,*|NIR,,,12.739999771118164,11.59000015258789,11.151599884033203,,,9.0,8.368000030517578,8.217000007629395,CoreThruput
30,3358414,TYC 8662-1789-1,200.47544115656999,-54.37459850610999,0.0268,0.0289,90,8.603,0.412,2.0648,18.08,*,*|NIR,,,11.890000343322754,11.220000267028809,11.160599708557129,,,10.04699993133545,9.788000106811523,9.71399974822998,CoreThruput
31,7475348,TYC 7849-2544-1,236.41082233449998,-44.70485710982,0.0114,0.0101,90,-3.702,-7.047,0.3979,69.76,*,*|NIR,,,13.100000381469727,11.819999694824219,12.088700294494629,,,9.96500015258789,9.229999542236328,9.008999824523926,CoreThruput
32,7384369,TYC 7304-30-1,220.09382907294997,-34.00972067223,0.0289,0.0275,90,-1.731,-6.337,0.4657,24.62,*,*|NIR,,,12.84000015258789,11.15999984741211,9.966139793395996,,,7.129000186920166,6.302999973297119,5.985000133514404,CoreThruput
33,6960570,TYC 3994-1230-1,336.12245852751,59.25213361031,0.0099,0.0099,90,3.985,-3.375,1.1696,-6.09,*,*|NIR,,,13.0600004196167,11.739999771118164,11.16759967803955,,,9.071999549865723,8.446000099182129,8.281000137329102,CoreThruput
34,6667588,TYC 2205-1566-1,333.46471314807,23.061466025299996,0.0159,0.0152,90,9.306,-7.229,0.7427,1.26,*,*|NIR,,,12.170000076293945,11.199999809265137,11.022000312805176,,,9.484999656677246,8.927000045776367,8.836999893188477,CoreThruput
35,7314018,TYC 6752-633-1,224.24233378917998,-25.124262610769996,0.0124,0.0143,90,-17.983,-23.62,2.4558,11.11,*,*|NIR,,,12.800000190734863,11.5600004196167,11.588600158691406,,,10.392999649047852,10.031999588012695,9.92300033569336,CoreThruput
36,7205504,TYC 5979-1268-1,112.32213364137,-15.922443524689998,0.0109,0.0121,90,-1.694,-6.435,0.867,36.15,*,*|NIR|RG*,,,13.039999961853027,11.420000076293945,11.209199905395508,,,9.442999839782715,8.901000022888184,8.736000061035156,CoreThruput
37,7465636,TYC 7799-170-1,200.42382838628998,-43.32191236898,0.0166,0.0139,90,-20.882,0.789,2.8219,62.89,*,*|NIR,,,12.4399995803833,11.800000190734863,11.631500244140625,,,10.524999618530273,10.17199993133545,10.105999946594238,CoreThruput
38,6765995,TYC 2826-303-1,24.537329092829996,44.83059986606,0.0146,0.0119,90,-2.586,0.4,0.6985,-17.86,*,*|NIR,,,12.100000381469727,11.539999961853027,11.046699523925781,,,9.470000267028809,8.963000297546387,8.86400032043457,CoreThruput
39,7113134,TYC 5237-560-1,340.48978109423,-3.7239029939699986,0.0161,0.0169,90,9.42,-8.106,2.1963,-40.12,*,*|NIR,,,12.038999557495117,11.404000282287598,11.279600143432617,,,10.284000396728516,10.012999534606934,9.954000473022461,CoreThruput
40,7123163,TYC 5332-1196-1,80.81414190857,-9.016253570539998,0.0153,0.0138,90,1.903,-15.045,2.0295,11.95,*,*|NIR,,,12.119999885559082,11.539999961853027,11.379899978637695,,,10.416000366210938,10.197999954223633,10.14799976348877,CoreThruput
