,oid,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,pmra,pmdec,plx_value,rvz_radvel,otype,otypes,sp_type,U,B,V,G,R,I,J,H,K,CalType
0,710618,*  44 Eri,67.13383772729,1.38082529384,0.0619,0.0342,90,20.236,-20.406,6.401,18.0,*,*|IR|NIR|UV,B5III/IV,,5.428999900817871,5.5320000648498535,5.5045599937438965,,,5.730000019073486,5.791999816894531,5.794000148773193,ImagCorr_5.5
1,3104958,* pi.01 Dor,95.65948232394,-69.98404457966,0.0731,0.0701,90,26.17,34.33,4.9606,15.7,*,*|IR|NIR,K5III,,7.053999900817871,5.541999816894531,4.979310035705566,,,2.871999979019165,2.0920000076293945,1.8799999952316284,ImagCorr_5.5
2,1621208,*  24 Hya,139.17236146498,-8.744758350200001,0.068,0.0921,90,-17.359,0.577,4.1533,9.57,*,*|NIR|UV,B3III/IV,5.079999923706055,5.395999908447266,5.4679999351501465,5.458270072937012,,,5.553999900817871,5.646999835968018,5.585999965667725,ImagCorr_5.5
3,2826322,*  10 Vul,295.92881967118,25.771920192750002,0.107,0.1629,90,17.819,15.19,9.0521,-8.63,*,*|IR|NIR|RG*|UV|X,G8III,,6.433000087738037,5.497000217437744,5.253210067749023,,,3.9600000381469727,3.5199999809265137,3.359999895095825,ImagCorr_5.5
4,1428720,*  17 Peg,329.23488454564,12.07649373302,0.119,0.1799,90,-27.948,-13.881,7.2169,10.3,*,*|NIR|UV,A2Vnn,,5.579999923706055,5.5329999923706055,5.516970157623291,,,5.357999801635742,5.359000205993652,5.359000205993652,ImagCorr_5.5
5,776652,HD  34904,80.70964259549,41.029259679309995,0.056,0.0336,90,-13.245,2.486,9.9241,-12.25,*,*|IR|NIR|UV,A3V,,5.663000106811523,5.541999816894531,5.509260177612305,,,5.144000053405762,5.124000072479248,5.111999988555908,ImagCorr_5.5
6,866275,HD  41047,90.31790686717,-33.911835558810004,0.0535,0.0614,90,4.876,-26.178,4.832,34.61,*,*|IR|NIR,K5III,,7.1020002365112305,5.52400016784668,4.891809940338135,,,2.7079999446868896,1.940999984741211,1.7400000095367432,ImagCorr_5.5
7,199154,HD 205139,322.74704853781,60.45943182228,0.0429,0.0387,90,-1.797,-3.745,1.1477,-14.5,*,*|IR|NIR|UV,B1Ib,4.920000076293945,5.604000091552734,5.521999835968018,5.458199977874756,,,5.557000160217285,5.224999904632568,5.261000156402588,ImagCorr_5.5
8,892783,*  78 Ori,96.81496350142,-0.27600142247,0.0809,0.0805,90,1.625,-5.216,5.0387,38.8,*,*|IR|NIR,K2/3III,,6.919000148773193,5.538000106811523,5.092559814453125,,,3.2909998893737793,2.549999952316284,2.372999906539917,ImagCorr_5.5
9,2227569,HD 122430,210.59492554608997,-27.429775764160002,0.1737,0.2199,90,-32.183,-4.637,6.6662,-0.61,*,*|IR|NIR,K2/3III,,6.798999786376953,5.468999862670898,5.037749767303467,,,3.0799999237060547,2.372999906539917,2.260999917984009,ImagCorr_5.5
10,1477876,* sig Ari,42.87327685698,15.082067633060001,0.1492,0.0946,90,29.636,-24.65,7.0519,17.0,*,*|NIR|UV,B7V,,5.410999774932861,5.515999794006348,5.500589847564697,,,5.690999984741211,5.794000148773193,5.7779998779296875,ImagCorr_5.5
